start	end	text
0	3800	Moi, du coup, j'ai préparé ce talk à l'impôt sur le chat libre.
4040	6860	Alors, au début, je pensais que j'allais peut-être faire 30 minutes
6860	9400	et au fur et à mesure que j'ai commencé à écrire le truc,
9540	10960	j'ai vu que ça s'accumulait, s'accumulait.
11380	13960	J'en suis à 45 slides dans la totalité, mais bon,
15580	19080	il n'y a pas que des slides où je vais parler pendant super longtemps,
19600	22360	mais j'espère que je ne vais pas complètement exploser le temps.
23520	29120	Alors, ça, c'est mon CV un peu militant pour me donner une espèce de légitimité
29120	31520	à vous raconter ce que je vais vous raconter.
32880	36780	Alexandre Robin, autoradicalisé à 18 ans en regardant les débats à l'Assemblée nationale.
38640	42620	Voilà, ça, c'est le moment où je suis tombé un peu dans le logiciel libre et tout.
42620	45840	À l'époque, c'était la Adopi et du coup, je regardais les débats à l'Assemblée nationale
45840	51500	sur la Adopi et puis j'ai un peu vu le décalage entre ce que j'apprenais à l'école
51500	54380	dans les cours d'histoire géo sur le fonctionnement de la démocratie
54380	57940	et puis la mauvaise foi des députés à l'Assemblée nationale
57940	61480	lorsqu'on leur expliquait par A plus B que le truc n'allait pas marcher.
61680	64700	Voilà, c'est le moment un peu où je me suis commencé à me dire
64700	67920	qu'il y avait des trucs bizarres.
68440	72980	Alors, du coup, à partir de ce moment-là, je suis un peu tombé dans le logiciel libre.
73520	75080	Voilà, moi, j'avais 18 ans.
75620	80460	Et puis, pendant 10 ans, j'ai un peu cru que le logiciel libre allait sauver le monde.
81240	82280	Et puis, j'en suis un peu revenu.
82380	84580	Alors, cette conf, elle vient un peu de là.
84580	88160	Alors, maintenant, j'essaie de définir un truc avec des gros mots, là,
88240	89880	le cyber-énarchisme.
90340	94480	Alors, ça, je vais essayer de définir à la fin ce que je veux dire par là.
95380	98000	Mais cette conférence, elle est là parce que moi, je pense qu'il faut aller un peu
98000	100560	au-delà du logiciel libre pour toutes les raisons que je vais exposer.
100740	103520	Donc, si vous n'avez pas compris à la fin, je vous réexpliquerai.
103520	107580	Et puis, alors, vous me connaissez peut-être parce que moi, je suis à la fois,
107660	108540	j'ai la double casquette.
108840	110980	Je suis à la fois dans l'équipe mutualisée de Copaname.
111740	115380	Et puis, je suis aussi formateur informatique en tant qu'entrepreneur salarié.
116820	120220	Je suis aussi dans d'autres projets divers et variés.
